User Story;Our Evaluation;AQUSA Evaluation;OpenAIs GPT-5 Evaluation;Claude 4.5 Sonnet Evaluation;Gemini 2.5 Flash Evaluation;DeepSeek-V3.1 Evaluation
As a user, I want to find out what properties are supported by the dataset type what values are allowed and what the defaults are when creating a dataset instance.;Atomic;Atomic;Atomic;Atomic, Uniform;Atomic
As a user, I want to specify the schema of a dataset in a uniform way across all dataset types.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to specify schema as a JSON string.;No violation;No violation;No violation;Minimal, Uniform;No violation
As a user, I want to specify schema as a SQL schema string.;No violation;No violation;No violation;Minimal, Uniform;No violation
As a user, I want to configure time-to-live in a uniform way across all dataset types.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to see the properties that were used to configure a dataset instance.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to find out what properties of a dataset can be updated.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to update the properties of a dataset instance and I expect this to fail if the new properties are not compatible with a meaningful error message.;Atomic, Uniform;Atomic;No violation;Minimal, Uniform;No violation
As a user, I want to update a single property of a dataset instance without knowing all other properties.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to remove a single property of a dataset instance without knowing all other properties.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to trigger a migration process for a dataset if updating its properties requires that.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to ensure that if reconfiguration of a dataset fails then no changes have taken effect, so that all steps required to reconfigure a dataset must be done as a single atomic action.;No violation;No violation;No violation;Uniform;No violation
As an app developer, I want to ensure that application creation fails if any of its datasets cannot be created.;No violation;No violation;No violation;Uniform;No violation
As an app developer, I want to ensure that application redeployment fails if any of its datasets cannot be reconfigured.;No violation;No violation;No violation;Uniform;No violation
As an app developer, I want to tolerate existing datasets if their properties are different but compatible when creating a dataset as part of app deployment.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to specify as part of dataset configuration whether it is explorable.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to specify the explore schema separately.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to ensure that dataset creation fails if the dataset cannot be enabled for explore.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to ensure that dataset reconfiguration fails if the corresponding update of the explore table fails.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to ensure that a dataset operation fails if it fails to make its required changes to explore.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to ensure that an update of explore never leads to silent loss of data or data available for explore.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to enable explore for a dataset that was not configured for explore initially.;No violation;No violation;No violation;Uniform;No violation
As a user, I want to disable explore for a dataset that was configured for explore initially.;No violation;No violation;No violation;Uniform;No violation
